1.35351E+12,paycode,itemNo,stimNo,verb,sentence,trialVersion,prepSentence,exposePicture,actionPicture,word1,word2,mistakeFlag,responseTime
1.35351E+12,f25defc94df43,0,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,thirsty,people,bad input,35.916
1.35352E+12,e5232e449a108,0,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,bad input,32.576
1.35351E+12,c10344ccai47,6,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,good,good,bad input,27.482
1.35351E+12,d1bcc14e98e30,0,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,People,beverages,none,19.656
1.35351E+12,g187df9288i45,0,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drink,juice,none,8.003
1.35351E+12,f10275b665c34,0,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,16.723
1.35351E+12,g2c1b2250fc59,0,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,people,standing,none,28.938
1.35351E+12,iadff15f5b67,0,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,8.359
1.35351E+12,j117b9dbeca76,0,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,12.823
1.35351E+12,f35df49326d72,0,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,9.661
1.35351E+12,i300dd5e1eb83,0,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,Drinks,juice,none,17.297
1.35352E+12,c27875b05ai141,0,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,11.214
1.35351E+12,h323e457b9j1,1,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,7.326
1.35351E+12,a34f17063ej16,1,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,choose,drink,none,9.475
1.35351E+12,g1af8b6c1j18,1,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,5.043
1.35352E+12,d3cd9c1ebb112,1,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,Drinks,Juice,none,6.01
1.35352E+12,b158b3ad37c133,1,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,pick,drink,none,8.508
1.35352E+12,g3b8dcf173h138,1,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,12.953
1.35351E+12,da75c7acfj63,2,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,5.648
1.35351E+12,j3708afc66d65,2,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,Smiles,none,11.676
1.35351E+12,d276a5c814b66,2,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,13.855
1.35352E+12,b34146c379f102,2,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,13.751
1.35352E+12,f15393a8c6b110,2,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,DRINKS,JUICE,none,7.644
1.35352E+12,d3df547c1e126,2,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,5.581
1.35352E+12,c2803750d3b140,2,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,9.365
1.35351E+12,h3f6abaa1i19,3,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,9.272
1.35351E+12,h1ec5b4368a27,3,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,mingling,none,26.277
1.35351E+12,h1b622cfe3c37,3,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,9.866
1.35351E+12,b5e4c38f0d35,3,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,15.975
1.35351E+12,a3a35572b4f51,3,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,6.409
1.35351E+12,d3dfd656adh69,3,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinking,juice,none,7.785
1.35351E+12,d1de0ca994j73,3,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,9.113
1.35351E+12,a30f37480fj103,3,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,6.895
1.35352E+12,a25ef7e946a117,3,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,Drinks,juice,none,7.757
1.35352E+12,f350cd72bfe118,3,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,8.203
1.35351E+12,hcb7212b6d3,4,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,beer,none,9.26
1.35351E+12,i2c3095d87i41,4,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,8.571
1.35351E+12,h37a92ce7cj64,4,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,6.165
1.35351E+12,g23dd0089g68,4,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,9.935
1.35352E+12,j2169f7b20e111,4,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,Juice,none,5.955
1.35352E+12,a23fcf13ef142,4,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drank,juice,none,6.519
1.35352E+12,a376dccc4cj143,4,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,8.451
1.35352E+12,d178c68f02a147,4,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,12.143
1.35351E+12,d24bf2a3d0d10,5,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,11.112
1.35351E+12,d3ca2a9c8db36,5,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,8.652
1.35351E+12,g303eb302f42,5,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,5.776
1.35351E+12,g38b708094f46,5,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,5.212
1.35351E+12,i13a5e2f60f50,5,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,14.69
1.35351E+12,b2aa3461a3b53,5,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,6.853
1.35351E+12,d10803bd2f82,5,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,8.567
1.35351E+12,j34928546c90,5,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,9.594
1.35352E+12,g3bc9345b9g113,5,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,10.138
1.35352E+12,b22422736bc116,5,1,DRINK,George drinks the juice.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,8.216
1.35352E+12,d3e3162d8ac123,5,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,5.535
1.35352E+12,d1d235fc8a128,5,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,4.889
1.35351E+12,i1a1efefb6g44,6,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,10.396
1.35351E+12,f46087587g60,6,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drinks,none,13.334
1.35351E+12,d1f1086451e87,6,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,6.781
1.35351E+12,hb6b438f0f95,6,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,6.853
1.35351E+12,i189f41130f93,6,1,DRINK,George drinks the juice.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,8.873
1.35352E+12,i1cebdd247h101,6,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drink,juice,none,20.675
1.35352E+12,h17967ac64e96,6,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,eyeing,beverages,none,15.722
1.35352E+12,j3909c747eb106,6,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,juice,none,12.793
1.35352E+12,i1ca9d7188f107,6,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,7.252
1.35352E+12,h1589ff72bd125,6,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,drank,none,6.125
1.35351E+12,i3803030a8c6,7,1,DRINK,George drinks the juice.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,juice,none,15.162
