Source,Word,Condition,pInclude
Dummy.1,Subject,1_6,0.44007
Dummy.1,Subject,2_5,0.44007
Dummy.1,Subject,3_4,0.44007
Dummy.1,Subject,4_3,0.44007
Dummy.1,Subject,5_2,0.44007
Dummy.1,Subject,6_1,0.44007
Dummy.1,Object,1_6,0.63717
Dummy.1,Object,2_5,0.63717
Dummy.1,Object,3_4,0.63717
Dummy.1,Object,4_3,0.63717
Dummy.1,Object,5_2,0.63717
Dummy.1,Object,6_1,0.63717
Dummy.1,Verb,1_6,0.69323
Dummy.1,Verb,2_5,0.69323
Dummy.1,Verb,3_4,0.69323
Dummy.1,Verb,4_3,0.69323
Dummy.1,Verb,5_2,0.69323
Dummy.1,Verb,6_1,0.69323
IfBase.1,Subject,1_6,0.35341
IfBase.1,Subject,2_5,0.44813
IfBase.1,Subject,3_4,0.52706
IfBase.1,Subject,4_3,0.59547
IfBase.1,Subject,5_2,0.65652
IfBase.1,Subject,6_1,0.7122
IfBase.1,Object,1_6,0.81675
IfBase.1,Object,2_5,0.76107
IfBase.1,Object,3_4,0.70002
IfBase.1,Object,4_3,0.63162
IfBase.1,Object,5_2,0.55268
IfBase.1,Object,6_1,0.45796
IfBase.1,Verb,1_6,0.82984
IfBase.1,Verb,2_5,0.7908
IfBase.1,Verb,3_4,0.77291
IfBase.1,Verb,4_3,0.77291
IfBase.1,Verb,5_2,0.7908
IfBase.1,Verb,6_1,0.82984
IfNoBase.1,Subject,1_6,0.22619
IfNoBase.1,Subject,2_5,0.40476
IfNoBase.1,Subject,3_4,0.55357
IfNoBase.1,Subject,4_3,0.68254
IfNoBase.1,Subject,5_2,0.79762
IfNoBase.1,Subject,6_1,0.9026
IfNoBase.1,Object,1_6,0.9026
IfNoBase.1,Object,2_5,0.79762
IfNoBase.1,Object,3_4,0.68254
IfNoBase.1,Object,4_3,0.55357
IfNoBase.1,Object,5_2,0.40476
IfNoBase.1,Object,6_1,0.22619
IfNoBase.1,Verb,1_6,0.87121
IfNoBase.1,Verb,2_5,0.79762
IfNoBase.1,Verb,3_4,0.76389
IfNoBase.1,Verb,4_3,0.76389
IfNoBase.1,Verb,5_2,0.79762
IfNoBase.1,Verb,6_1,0.87121
SucceedOrFail.1,Subject,1_6,0
SucceedOrFail.1,Subject,2_5,0.5
SucceedOrFail.1,Subject,3_4,0.5
SucceedOrFail.1,Subject,4_3,0.5
SucceedOrFail.1,Subject,5_2,0.5
SucceedOrFail.1,Subject,6_1,1
SucceedOrFail.1,Object,1_6,1
SucceedOrFail.1,Object,2_5,0.5
SucceedOrFail.1,Object,3_4,0.5
SucceedOrFail.1,Object,4_3,0.5
SucceedOrFail.1,Object,5_2,0.5
SucceedOrFail.1,Object,6_1,0
SucceedOrFail.1,Verb,1_6,1
SucceedOrFail.1,Verb,2_5,1
SucceedOrFail.1,Verb,3_4,1
SucceedOrFail.1,Verb,4_3,1
SucceedOrFail.1,Verb,5_2,1
SucceedOrFail.1,Verb,6_1,1
Dummy.2,Subject,1_6,0.499
Dummy.2,Subject,2_5,0.499
Dummy.2,Subject,3_4,0.499
Dummy.2,Subject,4_3,0.499
Dummy.2,Subject,5_2,0.499
Dummy.2,Subject,6_1,0.499
Dummy.2,Object,1_6,0.73676
Dummy.2,Object,2_5,0.73676
Dummy.2,Object,3_4,0.73676
Dummy.2,Object,4_3,0.73676
Dummy.2,Object,5_2,0.73676
Dummy.2,Object,6_1,0.73676
Dummy.2,Verb,1_6,0.76424
Dummy.2,Verb,2_5,0.76424
Dummy.2,Verb,3_4,0.76424
Dummy.2,Verb,4_3,0.76424
Dummy.2,Verb,5_2,0.76424
Dummy.2,Verb,6_1,0.76424
IfBase.2,Subject,1_6,0.3626
IfBase.2,Subject,2_5,0.45188
IfBase.2,Subject,3_4,0.52629
IfBase.2,Subject,4_3,0.59077
IfBase.2,Subject,5_2,0.64831
IfBase.2,Subject,6_1,0.7008
IfBase.2,Object,1_6,0.81968
IfBase.2,Object,2_5,0.76719
IfBase.2,Object,3_4,0.70965
IfBase.2,Object,4_3,0.64516
IfBase.2,Object,5_2,0.57076
IfBase.2,Object,6_1,0.48147
IfBase.2,Verb,1_6,0.81773
IfBase.2,Verb,2_5,0.78093
IfBase.2,Verb,3_4,0.76406
IfBase.2,Verb,4_3,0.76406
IfBase.2,Verb,5_2,0.78093
IfBase.2,Verb,6_1,0.81773
IfNoBase.2,Subject,1_6,0.22619
IfNoBase.2,Subject,2_5,0.40476
IfNoBase.2,Subject,3_4,0.55357
IfNoBase.2,Subject,4_3,0.68254
IfNoBase.2,Subject,5_2,0.79762
IfNoBase.2,Subject,6_1,0.9026
IfNoBase.2,Object,1_6,0.9026
IfNoBase.2,Object,2_5,0.79762
IfNoBase.2,Object,3_4,0.68254
IfNoBase.2,Object,4_3,0.55357
IfNoBase.2,Object,5_2,0.40476
IfNoBase.2,Object,6_1,0.22619
IfNoBase.2,Verb,1_6,0.87121
IfNoBase.2,Verb,2_5,0.79762
IfNoBase.2,Verb,3_4,0.76389
IfNoBase.2,Verb,4_3,0.76389
IfNoBase.2,Verb,5_2,0.79762
IfNoBase.2,Verb,6_1,0.87121
SucceedOrFail.2,Subject,1_6,0
SucceedOrFail.2,Subject,2_5,0.5
SucceedOrFail.2,Subject,3_4,0.5
SucceedOrFail.2,Subject,4_3,0.5
SucceedOrFail.2,Subject,5_2,0.5
SucceedOrFail.2,Subject,6_1,1
SucceedOrFail.2,Object,1_6,1
SucceedOrFail.2,Object,2_5,0.5
SucceedOrFail.2,Object,3_4,0.5
SucceedOrFail.2,Object,4_3,0.5
SucceedOrFail.2,Object,5_2,0.5
SucceedOrFail.2,Object,6_1,0
SucceedOrFail.2,Verb,1_6,1
SucceedOrFail.2,Verb,2_5,1
SucceedOrFail.2,Verb,3_4,1
SucceedOrFail.2,Verb,4_3,1
SucceedOrFail.2,Verb,5_2,1
SucceedOrFail.2,Verb,6_1,1
